europages_prod,ecoinvent_prod,finetune_validation,prompt_validation
made-to-measure lounge furniture,"wood cladding, softwood",no,no
made-to-measure lounge furniture,"glass fibre reinforced plastic, polyester resin, hand lay-up",no,no
made-to-measure lounge furniture,plywood,no,no
made-to-measure lounge furniture,"shavings, hardwood, loose, measured as dry mass",no,no
flavourings for cooking,celery,no,no
flavourings for cooking,"sweetening, natural gas",no,no
flavourings for cooking,mustard,no,medium
flavourings for cooking,"buttermilk, from cow milk",no,no
flavourings for cooking,"used vegetable cooking oil, purified",no,medium
recycled polyethylene terephtalate,"polystyrene foam slab with graphite, 6% recycled",no,medium
recycled polyethylene terephtalate,"polyethylene terephthalate, granulate, amorphous, recycled",medium,medium
recycled polyethylene terephtalate,"polyethylene, high density, granulate, recycled",no,medium
recycled polyethylene terephtalate,"polystyrene foam slab, 10% recycled",no,medium
recycled polyethylene terephtalate,"polyethylene terephthalate, granulate, bottle grade, recycled",medium,high
marine propellers,marine electric motor,no,medium
marine propellers,marine engine,no,no
marine propellers,helicopter,no,no
marine propellers,"wind turbine, 2MW, onshore",no,no
marine propellers,"wind turbine, 2.3MW, onshore",no,no
granular cocoa,cocoa bean,no,high
granular cocoa,"activated carbon, granular",no,no
granular cocoa,barley grain,no,no
granular cocoa,glyphosate,no,no
granular cocoa,"polylactide, granulate",no,medium
food argan,meat and bone meal,no,no
food argan,"fishmeal, 63-65% protein",no,no
food argan,"fishmeal, 65-67% protein",no,no
food argan,barley grain,no,no
food argan,refrigerator,no,no
cloves,stalk,no,no
cloves,atrazine,no,no
cloves,vanilla,no,no
cloves,lemon,no,no
cloves,"paper, melamine impregnated",no,no
coconuts,"coconut, dehusked",no,high
coconuts,coconut husk,no,high
coconuts,"coconut oil, crude",no,high
coconuts,pineapple,no,no
coconuts,palm fruit bunch,no,no
oat milk powders,"skimmed milk, from cow milk",no,no
oat milk powders,"cream, from cow milk",no,no
oat milk powders,"buttermilk, from cow milk",no,no
oat milk powders,cow milk,no,no
oat milk powders,oat grain,no,medium
linear bearing,"section bar rolling, steel",no,no
linear bearing,"impact extrusion of aluminium, deformation stroke",no,medium
linear bearing,"impact extrusion of aluminium, 1 stroke",no,no
linear bearing,"swath, by rotary windrower",no,no
linear bearing,"impact extrusion of aluminium, 5 strokes",no,no
cartridge valves,"exhaust air valve, in-wall housing, plastic/steel, DN 125",no,no
cartridge valves,used air filter in exhaust air valve,no,no
cartridge valves,"ventilation duct, elbow 90°, steel, 100x50 mm",no,no
cartridge valves,"used exhaust air valve in-wall housing, plastic/steel",no,no
cartridge valves,"inductor, ring core choke type",no,no
pipes for petrochemicals,"extrusion, plastic pipes",no,no
pipes for petrochemicals,"polyethylene pipe, DN 200, SDR 41",no,no
pipes for petrochemicals,"borehole heat exchanger, 150m",no,no
pipes for petrochemicals,"pump, 40W",no,no
pipes for petrochemicals,wastewater from tube collector production,no,no
sectional rail couplings,"railway track, for high-speed train",no,medium
sectional rail couplings,railway track,no,no
sectional rail couplings,"swath, by rotary windrower",no,no
sectional rail couplings,"electric connector, peripheral component interconnect buss",no,no
sectional rail couplings,"spiral-seam duct, steel, DN 125",no,no
glass mosaics,ceramic tile,medium,medium
glass mosaics,"glass wool mat, uncoated, Saint-Gobain ISOVER SA",no,no
glass mosaics,"panel glass, for cathode ray tube display",no,no
glass mosaics,clay plaster,no,no
glass mosaics,roof tile,no,no
high-performance flat belts,"printed wiring board, mounted mainboard, laptop computer, Pb free",no,no
high-performance flat belts,"calendering, rigid sheets",no,no
high-performance flat belts,"printed wiring board, mounted mainboard, desktop computer, Pb free",no,medium
high-performance flat belts,"soft solder, Sn97Cu3",no,no
high-performance flat belts,"printed wiring board, mounted mainboard, mobile device, double-sided, Pb free",no,medium
welding fittings,"welding, arc, steel",no,no
welding fittings,"welding, gas, steel",no,medium
welding fittings,"welding, arc, aluminium",no,no
welding fittings,"cladding, crossbar-pole, aluminium",no,no
welding fittings,"used room-connecting overflow element steel, approx. 40 m3/h",no,no
additives for engines,"electrolyte, KOH, LiOH additive",no,high
additives for engines,"petrol, two-stroke blend",no,medium
additives for engines,manual dismantling of used passenger car with internal combustion engine,no,no
additives for engines,"catalytic converter, oxidation, 20 litre",no,no
additives for engines,"diesel, burned in agricultural machinery",no,high
mozzarellas,zucchini,no,no
mozzarellas,broccoli,no,no
mozzarellas,breadcrumbs,no,no
mozzarellas,banana,no,no
mozzarellas,cucumber,no,no
organic beef,"cattle for slaughtering, live weight",high,medium
organic beef,"soybean, Swiss integrated production",no,no
organic beef,"chicken for slaughtering, live weight",no,medium
organic beef,"weaned heifers, live weight",no,no
organic beef,"soybean, organic",no,no
chain saws,"power saw, with catalytic converter",no,medium
chain saws,"power sawing, with catalytic converter",no,medium
chain saws,"power saw, without catalytic converter",no,medium
chain saws,"power sawing, without catalytic converter",no,medium
chain saws,"wire drawing, steel",no,no
second-hand barrels,"sawlog and veneer log, softwood, debarked, measured as solid wood",no,no
second-hand barrels,"used silencer steel, DN 315",no,no
second-hand barrels,"sawlog and veneer log, azobe, debarked, measured as solid wood",no,no
second-hand barrels,"used silencer steel, DN 125",no,no
second-hand barrels,"sawlog and veneer log, meranti, debarked, measured as solid wood",no,no
rum,green liquor dregs,no,no
rum,fatty alcohol,no,no
rum,"cork, raw",no,no
rum,fermentation filtrate,no,no
rum,Distiller's Dried Grains with Solubles,no,no
alloy,iron-nickel-chromium alloy,no,high
alloy,"aluminium, cast alloy",medium,medium
alloy,"magnesium-alloy, AZ91",medium,medium
alloy,"magnesium-alloy, AZ91, diecast",medium,medium
alloy,"aluminium alloy, AlLi",medium,medium
tea bag,paper sack,no,medium
tea bag,"tea, dried",no,high
tea bag,white lined chipboard carton,no,no
tea bag,folding boxboard carton,no,medium
tea bag,"sugarcane transfer, by dump cart",no,no
artificial flowers,"willow stem cutting, for planting",no,no
artificial flowers,"asparagus seedling, for planting",no,no
artificial flowers,"onion seedling, for planting",no,no
artificial flowers,horticultural fleece,no,no
artificial flowers,planting tree,no,no
fittings,stretch blow moulding,no,no
fittings,"door, outer, wood-aluminium",no,medium
fittings,"cladding, crossbar-pole, aluminium",no,no
fittings,"swath, by rotary windrower",no,no
fittings,"ventilation of dwellings, decentralized, 6 x 120 m3/h",no,no
rubber wheels,bicycle,no,no
rubber wheels,"maintenance, motor scooter",no,no
rubber wheels,used motor scooter,no,no
rubber wheels,electric bicycle,no,no
rubber wheels,used tyre,no,medium
preserved fish,marine fish,medium,no
preserved fish,"small pelagic fish, fresh",no,no match
preserved fish,"fish freezing, small fish",medium,no
preserved fish,trout,no,medium match
preserved fish,"fishmeal, 63-65% protein",no,medium
tinned fish,"fish curing, small fish",no,no match
tinned fish,"trout feed, 42% protein",no,no
tinned fish,"small pelagic fish, fresh",no,no match
tinned fish,trout,no,no match
tinned fish,"demersal fish, fresh",no,no
"fish, salt-water","small pelagic fish, fresh",no,medium match
"fish, salt-water","fish freezing, small fish",no,no match
"fish, salt-water","demersal fish, fresh",medium,no
"fish, salt-water",marine fish,high,high match
"fish, salt-water",trout,no,no match
drums,"silencer, steel, DN 125",no,no
drums,lead,no,no
drums,"toner module, laser printer, black/white",no,high
drums,"used silencer steel, DN 125",no,no
drums,"used silencer steel, DN 315",no,no
precision balls,"swath, by rotary windrower",no,no
precision balls,pitch,no,no
precision balls,"laser machining, metal, with YAG-laser, 500W power",no,medium
precision balls,"laser machining, metal, with YAG-laser, 330W power",no,medium
precision balls,"laser machining, metal, with YAG-laser, 30W power",no,medium
banana sweet potato,banana,no,high
banana sweet potato,potato,high,high
banana sweet potato,"potato seed, for setting",no,no
banana sweet potato,cucumber,no,no
banana sweet potato,palm kernel meal,no,no
3d scanner,"laser machining, metal, with YAG-laser, 60W power",no,medium
3d scanner,"deep drawing, steel, 38000 kN press, automode",no,no
3d scanner,"laser machining, metal, with YAG-laser, 50W power",no,no
3d scanner,"laser machining, metal, with YAG-laser, 30W power",no,medium
3d scanner,"laser machining, metal, with YAG-laser, 40W power",no,medium
soft drinks,green liquor dregs,no,no
soft drinks,Distiller's Dried Grains with Solubles,no,no
soft drinks,"soda ash, light",no,medium
soft drinks,soybean beverage,no,no
soft drinks,"soft solder, Sn97Cu3",no,no
lubricating oil,lubricating oil,high,high
lubricating oil,light fuel oil,no,medium
lubricating oil,bilge oil,no,no
lubricating oil,petroleum refinery,no,no
lubricating oil,base oil,medium,high
bags,paper sack,no,medium
bags,"lorry with refrigeration machine, R134a as refrigerant, 16 metric ton",no,no
bags,"lorry with refrigeration machine, carbon dioxide, liquid as refrigerant, 16 metric ton",no,no
bags,"aircraft, belly freight, medium haul",no,no
bags,folding boxboard carton,no,medium
canned food,soybean meal,no,no
canned food,"protein feed, 100% crude",no,no
canned food,meat and bone meal,no,no
canned food,"protein pea, feed, Swiss integrated production",no,medium
canned food,cottonseed meal,no,medium
batteries,"battery cell, Li-ion, LiMn2O4",medium,medium
batteries,"battery, Li-ion, NMC811, rechargeable, prismatic",medium,high
batteries,"battery, Li-ion, NMC111, rechargeable, prismatic",medium,high
batteries,"battery, Li-ion, LiMn2O4, rechargeable, prismatic",medium,high
batteries,"battery, Li-ion, NCA, rechargeable, prismatic",medium,high
stainless steel ball valves,"exhaust air valve, in-wall housing, plastic/steel, DN 125",no,no
stainless steel ball valves,"ventilation duct, elbow 90°, steel, 100x50 mm",no,no
stainless steel ball valves,"spiral-seam duct, steel, DN 125",no,no
stainless steel ball valves,"spiral-seam duct, steel, DN 400",no,no
stainless steel ball valves,"hot rolling, steel",no,no
office machines,used desktop computer,no,no
office machines,"computer, desktop, without screen",no,no
office machines,"computer, laptop",no,no
office machines,"machine, for treatment of waste electric and electronic equipment",no,no
office machines,paper machine,no,no
pneumatic system components,"electronic component, active, unspecified",no,no
pneumatic system components,"maintenance, tram",no,no match
pneumatic system components,used ventilation control and wiring decentralized unit,no,no
pneumatic system components,"ventilation control and wiring, decentralized unit",no,medium
pneumatic system components,ventilation components factory,no,no
entry control system,"air filter, decentralized unit, 180-250 m3/h",no,medium
entry control system,"air filter, decentralized unit, 250 m3/h",no,no
entry control system,air separation facility,no,no
entry control system,"control cabinet, heat and power co-generation unit, 160kW electrical",no,no
entry control system,"ventilation control and wiring, decentralized unit",no,medium
optical instruments,"pointing device, optical mouse, with cable",no,medium
optical instruments,"optical brighteners, for paper production",no,no
optical instruments,"silicon, single crystal, Czochralski process, photovoltaics",no,high
optical instruments,"liquid crystal display, unmounted, mobile device",no,no
optical instruments,"frit, for cathode ray tube display",no,no
concrete formwork panels,"lightweight concrete block, polystyrene",no,no
concrete formwork panels,"lightweight concrete block, expanded clay",no,medium
concrete formwork panels,"lightweight concrete block, pumice",no,no
concrete formwork panels,concrete roof tile,no,no
concrete formwork panels,"lightweight concrete block, expanded perlite",no,medium
bulk material,"titania slag, 85% titanium dioxide",no,no
bulk material,"titania slag, 94% titanium dioxide",no,medium
bulk material,"waste bulk iron, excluding reinforcement",no,medium
bulk material,"wafer, fabricated, for integrated circuit",no,high
bulk material,"bulk carrier, for dry goods",no,high
screw compressor,"air compressor, screw-type compressor, 4kW",medium,high
screw compressor,"air compressor, screw-type compressor, 300kW",medium,high
screw compressor,"ventilation duct, elbow 90°, steel, 100x50 mm",no,no
screw compressor,"ventilation duct, steel, 100x50 mm",no,no
screw compressor,"ventilation duct, connection piece, steel, 100x50 mm",no,no
foristry,"forging, steel",no,no
foristry,folpet,no,no
foristry,"selective coat, copper sheet, sputter deposition",no,no
foristry,"sputtering, indium tin oxide, for liquid crystal display",no,no
foristry,"residues, MSWI[F]-WWT, WW from LCD backlight production",no,no
light commercial vehicles,light commercial vehicle,medium,high
light commercial vehicles,used light commercial vehicle,medium,medium
light commercial vehicles,"maintenance, light commercial vehicle",no,high
light commercial vehicles,"glider, passenger car",no,no
light commercial vehicles,"transport, freight, light commercial vehicle",no,high
binding,"zinc coat, coils",no,no
binding,"selective coat, stainless steel sheet, black chrome",no,medium
binding,ethane,no,no
binding,"silver, unrefined",no,no
binding,reinforcing steel,no,medium
organic peroxides,"hydrogen peroxide, without water, in 50% solution state",medium,medium
organic peroxides,hydrogen cyanide,no,no
organic peroxides,carbon disulfide,no,no
organic peroxides,"nitrate salts, for solar power application",no,no
organic peroxides,"alkylketene dimer sizing agent, for paper production",no,medium
metallurgy installations,"metal working, average for chromium steel product manufacturing",no,medium
metallurgy installations,"metal working, average for steel product manufacturing",no,medium
metallurgy installations,"metal working machine, unspecified",no,no
metallurgy installations,metal working factory,no,no
metallurgy installations,"metal working, average for copper product manufacturing",no,medium
clean room processes,"cleaning consumables, without water, in 13.6% solution state",no,medium
clean room processes,"operation, computer, desktop, with liquid crystal display, standby mode",no,no match
clean room processes,"operation, computer, desktop, with liquid crystal display, off mode",no,no match
clean room processes,"operation, computer, desktop, with liquid crystal display, active mode",no,no
clean room processes,washing machine,no,no
shipyards repairs,"maintenance, barge",no,no
shipyards repairs,"maintenance, intermodal shipping container, 40-foot",no,no
shipyards repairs,"trawler maintenance, steel",no,no match
shipyards repairs,"maintenance, intermodal shipping container, 20-foot",no,no
shipyards repairs,"maintenance, ferry",no,no
"salvaging, scrap iron","iron scrap, unsorted",medium,high
"salvaging, scrap iron","recultivation, iron mine",no,no
"salvaging, scrap iron","iron scrap, sorted, pressed",medium,medium
"salvaging, scrap iron",scrap copper,no,no
"salvaging, scrap iron",scrap steel,no,no
countersinks,clinker,no,no
countersinks,tin concentrate,no,no
countersinks,"sputtering, indium tin oxide, for liquid crystal display",no,no
countersinks,"delimbing/sorting, excavator-based processor",no,no
countersinks,"tempering, flat glass",no,no
pharmaceutical products,refrigerant R134a,no,no
pharmaceutical products,injection moulding,no,no
pharmaceutical products,"protein feed, 100% crude",no,no
pharmaceutical products,"protein pea, organic",no,no
pharmaceutical products,"N,N-dimethylformamide",no,no
development,"planning, cogen unit mini CHP plant",no,high
development,irrigation,no,no
development,planting,no,no
development,pitch,no,no
development,"building operation, hostel",no,no
sludge treatment consulting,"sludge, NaCl electrolysis",no,no
sludge treatment consulting,"sludge, NaCl electrolysis Hg",no,no
sludge treatment consulting,"sewage sludge, 70% water, WWT, WW, average",no,no
sludge treatment consulting,"sewage sludge, 75% water, WWT, WW, average",no,no
sludge treatment consulting,"manual treatment facility, waste electric and electronic equipment",no,no
milling technology,"laser machining, metal, with YAG-laser, 500W power",no,medium
milling technology,"laser machining, metal, with YAG-laser, 200W power",no,medium
milling technology,"laser machining, metal, with YAG-laser, 330W power",no,medium
milling technology,"laser machining, metal, with YAG-laser, 50W power",no,medium
milling technology,"laser machining, metal, with YAG-laser, 60W power",no,medium
repair of speed reduction units,electronics scrap from control units,no,no
repair of speed reduction units,manual dismantling of used electric passenger car,no,no
repair of speed reduction units,manual dismantling of electric scooter,no,no
repair of speed reduction units,manual dismantling of used passenger car with internal combustion engine,no,no
repair of speed reduction units,"machine operation, diesel, >= 18.64 kW and < 74.57 kW, low load factor",no,no
rubber cutting operations,"deep drawing, steel, 38000 kN press, automode",no,no
rubber cutting operations,"deep drawing, steel, 650 kN press, automode",no,no
rubber cutting operations,"deep drawing, steel, 38000 kN press, single stroke",no,no
rubber cutting operations,"deep drawing, steel, 3500 kN press, automode",no,no
rubber cutting operations,synthetic rubber,no,no
iron foundries installations,"cast iron removed by drilling, computer numerical controlled",no,no
iron foundries installations,"cast iron removed by milling, large parts",no,no
iron foundries installations,"cast iron removed by milling, dressing",no,no
iron foundries installations,"cast iron removed by drilling, conventional",no,no
iron foundries installations,"cast iron removed by turning, primarily roughing, computer numerical controlled",no,no
punch shear combi machines,"delimbing/sorting, excavator-based processor",no,no
punch shear combi machines,"swath, by rotary windrower",no,no
punch shear combi machines,"mowing, by rotary mower",no,no
punch shear combi machines,"ventilation duct, elbow 90°, steel, 100x50 mm",no,no
punch shear combi machines,"inductor, miniature radio frequency chip",no,no
outsourcing of financial services,"operation, computer, desktop, office use",no,no
outsourcing of financial services,"operation, computer, desktop, home use",no,no match
outsourcing of financial services,"operation, computer, laptop, videoconference, electricity from renewable energy products",no,medium
outsourcing of financial services,"operation, internet access equipment, electricity from renewable energy products",no,medium
outsourcing of financial services,ferry,no,no
dismantling of industrial plants,manual dismantling of used electric passenger car,no,no
dismantling of industrial plants,manual dismantling of used passenger car with internal combustion engine,no,no
dismantling of industrial plants,"recultivation, iron mine",no,no
dismantling of industrial plants,manual dismantling of electric scooter,no,no
dismantling of industrial plants,decommissioned chemical production facilities,no,medium
chemical waste recycling,slag landfill,no,no
chemical waste recycling,municipal waste collection service by 21 metric ton lorry,no,medium
chemical waste recycling,"waste paper, sorted",no,high
chemical waste recycling,"waste paperboard, sorted",no,high
chemical waste recycling,waste polypropylene,no,no
milling of plastic,"extrusion of plastic sheets and thermoforming, inline",no,no
milling of plastic,thermoforming of plastic sheets,no,no
milling of plastic,"sheet rolling, aluminium",no,no
milling of plastic,"aluminium removed by turning, primarily roughing, computer numerical controlled",no,no
milling of plastic,paper machine,no,no
onshore services,onshore petroleum field infrastructure,no,no
onshore services,port facilities,no,no
onshore services,"trawler maintenance, steel",no,no match
onshore services,"maintenance, ferry",no,no
onshore services,"maintenance, transmission network, electricity, high voltage direct current subsea cable",no,no
